Crossref Standards TWG,Fun with standards,CR 1234,4,17,1995,12083,Crossref,"Bethesda, MD",Crossref,CRABC,10.5555standard1,,Crossref,Crossref,pfeeney@crossref.org,,
<organization>,<title>,<std_designator>,<month>,<day>,<year>,<item_number>,<publisher_name>,<publisher_place>,<standards_body_name>,<standards_body_acronym>,<doi>,<resource>,<registrant>,<depositor_name>,<email_address>,<doi_batch_id>,<timestamp>
GA4GH Data Security Work Stream,AAI,,10,23,2019,21,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/aai/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
,Bad Actors in Research Environments (BARE),,,,,,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/bad-actors-in-research-environments-bare/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Discovery Work Stream,Beacon API v1,,10,,2018,8,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/beacon-api/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Discovery Work Stream,Beacon API v2,,4,,2022,43,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/beacon-api/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Large Scale Genomics (LSG) Work Stream,BED Specification v1,,10,,2021,38,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/bed-specification/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
,Clinical Data Sharing and Consent,,,,,,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/clinical-data-sharing-and-consent/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Regulatory and Ethics Work Stream  (REWS) ,Clinical Genomics Consent Clauses,,6,,2022,44,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/consent-toolkit/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
,Cloud Security and Privacy,,,,,,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/cloud-security-and-privacy/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
,Cohort Representation,,,,,,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/diversity-in-datasets-best-practices/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Regulatory and Ethics Work Stream  (REWS) ,Consent Clauses for Genomic Research,,9,,2020,29,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/consent-toolkit/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Regulatory and Ethics Work Stream  (REWS) ,Consent Clauses for Large Scale Initiatives,,1,,2022,40,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/consent-toolkit/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Regulatory and Ethics Work Stream  (REWS) ,Consent Policy,,9,,2019,13,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/consent-policy/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Regulatory and Ethics Work Stream  (REWS) ,Copyright Policy,,4,,2020,28,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/copyright-policy/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Large Scale Genomics (LSG) Work Stream,CRAM File Format v3,,10,,2017,1,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/cram/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Large Scale Genomics (LSG) Work Stream,Crypt4GH,,9,,2019,14,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/genetic-data-encryption-crypt4gh/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Regulatory and Ethics Work Stream  (REWS) ,Data Access Committee Review Standards (DACReS) Policy,,10,,2021,39,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/data-access-committee-review-standards-toolkit-guiding-principles-and-procedural-standards-policy/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Discovery Work Stream,Data Connect API v1,,1,,2021,31,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/data-connect/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Data Security Work Stream,Data Privacy and Security Policy,,7,,2019,12,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/data-privacy-and-security-policy/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Data Security Work Stream,Data Security Infrastructure Policy,,10,23,2019,22,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/data-security-infrastructure-policy/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Data Use and Researcher Identities (DURI) Work Stream,Data Use Ontology v1,,1,,2018,7,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/data-use-ontology-duo/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
,Diversity in Datasets,,,,,,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/diversity-in-datasets-best-practices/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Cloud Work Stream,DRS v1,,10,23,2019,23,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/data-repository-service-drs/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
,Ethical Provenance Toolkit,,,,,,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/ethical-provenance-toolkit/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Regulatory and Ethics Work Stream  (REWS) ,Ethics Review Recognition Policy,,9,,2020,30,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/ethics-review-recognition-policy/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Regulatory and Ethics Work Stream  (REWS) ,Familial Consent Clauses,,3,,2021,33,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/consent-toolkit/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
GA4GH Clinical and Phenotypic Data Capture and Exchange (Clin/Pheno)  Work Stream,Family History Tools Inventory,,10,,2017,2,Global Alliance for Genomics and Health,"Toronto, ON, CA",Global Alliance for Genomics and Health,GA4GH,10.59756xx,https://www.ga4gh.org/product/family-history-toolkit/,Global Alliance for Genomics and Health,Global Alliance for Genomics and Health,info@ga4gh.org,,
